Country,State,Admin,Lat,Long,Population,Region,Continent
US,Michigan,Montcalm,43.31082541,-85.15252824,63888,Northern America,Northern America
US,Michigan,Montmorency,45.0275929,-84.12696227,9328,Northern America,Northern America
US,Michigan,Muskegon,43.29123859,-86.15176712,173566,Northern America,Northern America
US,Michigan,Newaygo,43.554374,-85.80070107,48980,Northern America,Northern America
US,Michigan,Oakland,42.66090111,-83.38595416,1257584,Northern America,Northern America
US,Michigan,Oceana,43.64124435,-86.26726673,26467,Northern America,Northern America
US,Michigan,Ogemaw,44.33481032,-84.12725175,20997,Northern America,Northern America
US,Michigan,Ontonagon,46.6652262,-89.31390481,5720,Northern America,Northern America
US,Michigan,Osceola,43.98992088,-85.32566756,23460,Northern America,Northern America
US,Michigan,Oscoda,44.68192279,-84.12939244,8241,Northern America,Northern America
US,Michigan,Otsego,45.02085831,-84.59898295,24668,Northern America,Northern America
US,Michigan,Ottawa,42.95996803,-85.9969107,291830,Northern America,Northern America
US,Michigan,Presque Isle,45.34018577,-83.91498656,12592,Northern America,Northern America
US,Michigan,Roscommon,44.33473082,-84.61067651,24019,Northern America,Northern America
US,Michigan,Saginaw,43.33433923,-84.0513121,190539,Northern America,Northern America
US,Michigan,St. Clair,42.92655373,-82.67937954,159128,Northern America,Northern America
US,Michigan,St. Joseph,41.91441767,-85.52797979,60964,Northern America,Northern America
US,Michigan,Sanilac,43.42406072,-82.82055898,41170,Northern America,Northern America
US,Michigan,Schoolcraft,46.19235734,-86.19972234,8094,Northern America,Northern America
US,Michigan,Shiawassee,42.953928,-84.14585902,68122,Northern America,Northern America
US,Michigan,Tuscola,43.46606813,-83.41897025,52245,Northern America,Northern America
US,Michigan,Van Buren,42.25190229,-86.01939087,75677,Northern America,Northern America
US,Michigan,Washtenaw,42.253105,-83.83853204,367601,Northern America,Northern America
US,Michigan,Wayne,42.28098405,-83.281255,1749343,Northern America,Northern America
US,Michigan,Wexford,44.33853602,-85.57712739,33631,Northern America,Northern America
US,Minnesota,Aitkin,46.60962049,-93.4116826,15886,Northern America,Northern America
US,Minnesota,Anoka,45.27476015,-93.24604565,356921,Northern America,Northern America
US,Minnesota,Becker,46.93479392,-95.67158144,34423,Northern America,Northern America
US,Minnesota,Beltrami,47.97373527,-94.93732139,47188,Northern America,Northern America
US,Minnesota,Benton,45.69804958,-93.99514135,40889,Northern America,Northern America
US,Minnesota,Big Stone,45.42712824,-96.41403739,4991,Northern America,Northern America
US,Minnesota,Blue Earth,44.03554215,-94.06699781,67653,Northern America,Northern America
US,Minnesota,Brown,44.24205652,-94.72562874,25008,Northern America,Northern America
US,Minnesota,Carlton,46.59180601,-92.67601019,35871,Northern America,Northern America
US,Minnesota,Carver,44.82017001,-93.8009918,105089,Northern America,Northern America
US,Minnesota,Cass,46.95043611,-94.32603968,29779,Northern America,Northern America
US,Minnesota,Chippewa,45.02343421,-95.56403693,11800,Northern America,Northern America
US,Minnesota,Chisago,45.5021011,-92.90861945,56579,Northern America,Northern America
US,Minnesota,Clay,46.89289518,-96.48761922,64222,Northern America,Northern America
US,Minnesota,Clearwater,47.57992111,-95.37790562,8818,Northern America,Northern America
US,Minnesota,Cook,47.90504893,-90.52629546,5463,Northern America,Northern America
US,Minnesota,Cottonwood,44.00715262,-95.18138802,11196,Northern America,Northern America
US,Minnesota,Crow Wing,46.48096553,-94.06755609,65055,Northern America,Northern America
US,Minnesota,Dakota,44.67172617,-93.06299363,429021,Northern America,Northern America
US,Minnesota,Dodge,44.02238415,-92.86244324,20934,Northern America,Northern America
US,Minnesota,Douglas,45.93348491,-95.45335469,38141,Northern America,Northern America
US,Minnesota,Faribault,43.67381499,-93.94787458,13653,Northern America,Northern America
US,Minnesota,Fillmore,43.67394126,-92.08980382,21067,Northern America,Northern America
US,Minnesota,Freeborn,43.67385583,-93.34884422,30281,Northern America,Northern America
US,Minnesota,Goodhue,44.40849741,-92.7234195,46340,Northern America,Northern America
US,Minnesota,Grant,45.93424769,-96.01139609,5972,Northern America,Northern America
US,Minnesota,Hennepin,45.00761521,-93.47694895,1265843,Northern America,Northern America
US,Minnesota,Houston,43.67129565,-91.49143057,18600,Northern America,Northern America
US,Minnesota,Hubbard,47.10778564,-94.91693868,21491,Northern America,Northern America
US,Minnesota,Isanti,45.56181234,-93.29487636,40596,Northern America,Northern America
US,Minnesota,Itasca,47.51009045,-93.63092229,45130,Northern America,Northern America
US,Minnesota,Jackson,43.67423373,-95.15398258,9846,Northern America,Northern America
US,Minnesota,Kanabec,45.9459309,-93.29275192,16337,Northern America,Northern America
US,Minnesota,Kandiyohi,45.1526059,-95.00586446,43199,Northern America,Northern America
US,Minnesota,Kittson,48.77754106,-96.78317184,4298,Northern America,Northern America
US,Minnesota,Koochiching,48.24539665,-93.78352843,12229,Northern America,Northern America
US,Minnesota,Lac qui Parle,44.9973857,-96.17488219,6623,Northern America,Northern America
US,Minnesota,Lake,47.64270764,-91.44557998,10641,Northern America,Northern America
US,Minnesota,Lake of the Woods,48.77217001,-94.90274472,3740,Northern America,Northern America
US,Minnesota,Le Sueur,44.37136597,-93.72844721,28887,Northern America,Northern America
US,Minnesota,Lincoln,44.41311883,-96.26688165,5639,Northern America,Northern America
US,Minnesota,Lyon,44.41327865,-95.83806103,25474,Northern America,Northern America
US,Minnesota,McLeod,44.82367677,-94.27287017,35893,Northern America,Northern America
US,Minnesota,Mahnomen,47.32557075,-95.80921485,5527,Northern America,Northern America
US,Minnesota,Marshall,48.35825983,-96.37017407,9336,Northern America,Northern America
US,Minnesota,Martin,43.67429718,-94.55099908,19683,Northern America,Northern America
US,Minnesota,Meeker,45.12328869,-94.52839455,23222,Northern America,Northern America
US,Minnesota,Mille Lacs,45.93705297,-93.63236823,26277,Northern America,Northern America
US,Minnesota,Morrison,46.01265363,-94.27341528,33386,Northern America,Northern America
US,Minnesota,Mower,43.67142874,-92.75234549,40062,Northern America,Northern America
US,Minnesota,Murray,44.02216709,-95.76328482,8194,Northern America,Northern America
US,Minnesota,Nicollet,44.35291112,-94.24710352,34274,Northern America,Northern America
US,Minnesota,Nobles,43.67434621,-95.75329576,21629,Northern America,Northern America
US,Minnesota,Norman,47.32628443,-96.45620947,6375,Northern America,Northern America
US,Minnesota,Olmsted,44.00374114,-92.40209944,158293,Northern America,Northern America
US,Minnesota,Otter Tail,46.40846929,-95.70835255,58746,Northern America,Northern America
US,Minnesota,Pennington,48.06642577,-96.0370814,14119,Northern America,Northern America
US,Minnesota,Pine,46.12105238,-92.74070188,29579,Northern America,Northern America
US,Minnesota,Pipestone,44.02301619,-96.25841142,9126,Northern America,Northern America
US,Minnesota,Polk,47.77372465,-96.40134647,31364,Northern America,Northern America
US,Minnesota,Pope,45.58606667,-95.44451209,11249,Northern America,Northern America
US,Minnesota,Ramsey,45.01625271,-93.09872295,550321,Northern America,Northern America
US,Minnesota,Red Lake,47.87197525,-96.09561104,4055,Northern America,Northern America
US,Minnesota,Redwood,44.40555844,-95.25207021,15170,Northern America,Northern America
US,Minnesota,Renville,44.72836381,-94.94553734,14548,Northern America,Northern America
US,Minnesota,Rice,44.3543376,-93.29658715,66972,Northern America,Northern America
US,Minnesota,Rock,43.67482683,-96.25296832,9315,Northern America,Northern America
US,Minnesota,Roseau,48.77501878,-95.81079919,15165,Northern America,Northern America
US,Minnesota,St. Louis,47.6048407,-92.46879855,199070,Northern America,Northern America
US,Minnesota,Scott,44.6490231,-93.53340251,149013,Northern America,Northern America
US,Minnesota,Sherburne,45.44447208,-93.77617511,97238,Northern America,Northern America
US,Minnesota,Sibley,44.5796592,-94.23164924,14865,Northern America,Northern America
US,Minnesota,Stearns,45.55192576,-94.61078221,161075,Northern America,Northern America
US,Minnesota,Steele,44.02240351,-93.22627088,36649,Northern America,Northern America
US,Minnesota,Stevens,45.58613007,-96.00163705,9805,Northern America,Northern America
US,Minnesota,Swift,45.2829032,-95.68264092,9266,Northern America,Northern America
US,Minnesota,Todd,46.06996226,-94.89785296,24664,Northern America,Northern America
US,Minnesota,Traverse,45.77298854,-96.47062949,3259,Northern America,Northern America
US,Minnesota,Wabasha,44.28424356,-92.23121312,21627,Northern America,Northern America
US,Minnesota,Wadena,46.58589171,-94.96968506,13682,Northern America,Northern America
US,Minnesota,Waseca,44.02211116,-93.58720034,18612,Northern America,Northern America
US,Minnesota,Washington,45.03864533,-92.88429635,262440,Northern America,Northern America
US,Minnesota,Watonwan,43.97823903,-94.61413846,10897,Northern America,Northern America
US,Minnesota,Wilkin,46.35721532,-96.4684375,6207,Northern America,Northern America
US,Minnesota,Winona,43.98772283,-91.78081305,50484,Northern America,Northern America
US,Minnesota,Wright,45.17297924,-93.96234781,138377,Northern America,Northern America
US,Minnesota,Yellow Medicine,44.71710183,-95.86842453,9709,Northern America,Northern America
US,Mississippi,Adams,31.47669768,-91.35326037,30693,Northern America,Northern America
US,Mississippi,Alcorn,34.88084463,-88.57996173,36953,Northern America,Northern America
US,Mississippi,Amite,31.17467303,-90.80501621,12297,Northern America,Northern America
US,Mississippi,Attala,33.08658803,-89.57838564,18174,Northern America,Northern America
US,Mississippi,Benton,34.81681228,-89.18945516,8259,Northern America,Northern America
US,Mississippi,Bolivar,33.79696941,-90.87372121,30628,Northern America,Northern America
US,Mississippi,Calhoun,33.93683395,-89.33686647,14361,Northern America,Northern America
US,Mississippi,Carroll,33.44834567,-89.91994479,9947,Northern America,Northern America
US,Mississippi,Chickasaw,33.91983202,-88.9481545,17103,Northern America,Northern America
US,Mississippi,Choctaw,33.34598242,-89.24809382,8210,Northern America,Northern America
US,Mississippi,Claiborne,31.97061673,-90.90702196,8988,Northern America,Northern America
US,Mississippi,Clarke,32.04158545,-88.6889622,15541,Northern America,Northern America
US,Mississippi,Clay,33.65358105,-88.77784255,19316,Northern America,Northern America
US,Mississippi,Coahoma,34.22772299,-90.60415045,22124,Northern America,Northern America
US,Mississippi,Copiah,31.86977774,-90.44565118,28065,Northern America,Northern America
US,Mississippi,Covington,31.63225413,-89.55389939,18636,Northern America,Northern America
US,Mississippi,DeSoto,34.87625235,-89.99091418,184945,Northern America,Northern America
US,Mississippi,Forrest,31.18961454,-89.25832496,74897,Northern America,Northern America
US,Mississippi,Franklin,31.47786634,-90.89672989,7713,Northern America,Northern America
US,Mississippi,George,30.86259065,-88.64436789,24500,Northern America,Northern America
US,Mississippi,Greene,31.21444233,-88.63922281,13586,Northern America,Northern America
US,Mississippi,Grenada,33.77036166,-89.80245083,20758,Northern America,Northern America
US,Mississippi,Hancock,30.41830223,-89.48851033,47632,Northern America,Northern America
US,Mississippi,Harrison,30.51359752,-89.12467576,208080,Northern America,Northern America
US,Mississippi,Hinds,32.2656285,-90.44435448,231840,Northern America,Northern America
US,Mississippi,Holmes,33.12345854,-90.08923538,17010,Northern America,Northern America
US,Mississippi,Humphreys,33.12825718,-90.52252707,8064,Northern America,Northern America
US,Mississippi,Issaquena,32.72531359,-90.97392828,1327,Northern America,Northern America
US,Mississippi,Itawamba,34.27993475,-88.3606733,23390,Northern America,Northern America
US,Mississippi,Jackson,30.54020656,-88.64184064,143617,Northern America,Northern America
US,Mississippi,Jasper,32.01922104,-89.11786866,16383,Northern America,Northern America
US,Mississippi,Jefferson,31.73397872,-91.03764977,6990,Northern America,Northern America
US,Mississippi,Jefferson Davis,31.56884708,-89.8267099,11128,Northern America,Northern America
US,Mississippi,Jones,31.62257767,-89.168969,68098,Northern America,Northern America
US,Mississippi,Kemper,32.75462946,-88.64105766,9742,Northern America,Northern America
US,Mississippi,Lafayette,34.35687874,-89.48490961,54019,Northern America,Northern America
US,Mississippi,Lamar,31.20572971,-89.5077704,63343,Northern America,Northern America
US,Mississippi,Lauderdale,32.40419769,-88.66229662,74125,Northern America,Northern America
US,Mississippi,Lawrence,31.55147224,-90.10841127,12586,Northern America,Northern America
US,Mississippi,Leake,32.7536828,-89.52402044,22786,Northern America,Northern America
US,Mississippi,Lee,34.2918775,-88.68149954,85436,Northern America,Northern America
US,Mississippi,Leflore,33.55545125,-90.29900733,28183,Northern America,Northern America
US,Mississippi,Lincoln,31.53288662,-90.45391915,34153,Northern America,Northern America
US,Mississippi,Lowndes,33.47386518,-88.4419153,58595,Northern America,Northern America
US,Mississippi,Madison,32.63389156,-90.03513564,106272,Northern America,Northern America
US,Mississippi,Marion,31.23132643,-89.8209217,24573,Northern America,Northern America
US,Mississippi,Marshall,34.76216286,-89.50299462,35294,Northern America,Northern America
US,Mississippi,Monroe,33.89236763,-88.4808438,35252,Northern America,Northern America
US,Mississippi,Montgomery,33.49419589,-89.61729103,9775,Northern America,Northern America
US,Mississippi,Neshoba,32.75339664,-89.11726492,29118,Northern America,Northern America
US,Mississippi,Newton,32.40021118,-89.11843336,21018,Northern America,Northern America
US,Mississippi,Noxubee,33.11009499,-88.56949061,10417,Northern America,Northern America
US,Mississippi,Oktibbeha,33.42491685,-88.87905132,49587,Northern America,Northern America
US,Mississippi,Panola,34.36398677,-89.95064249,34192,Northern America,Northern America
US,Mississippi,Pearl River,30.77090935,-89.58677275,55535,Northern America,Northern America
US,Mississippi,Perry,31.17161885,-88.99281835,11973,Northern America,Northern America
US,Mississippi,Pike,31.17507789,-90.40392572,39288,Northern America,Northern America
US,Mississippi,Pontotoc,34.226046,-89.03636807,32174,Northern America,Northern America
US,Mississippi,Prentiss,34.61810501,-88.51986294,25126,Northern America,Northern America
US,Mississippi,Quitman,34.25157572,-90.28908,6792,Northern America,Northern America
US,Mississippi,Rankin,32.26469147,-89.94537876,155271,Northern America,Northern America
US,Mississippi,Scott,32.4067041,-89.53789439,28124,Northern America,Northern America
US,Mississippi,Sharkey,32.88149103,-90.8159538,4321,Northern America,Northern America
US,Mississippi,Simpson,31.91282117,-89.91716179,26658,Northern America,Northern America
US,Mississippi,Smith,32.01744532,-89.50644846,15916,Northern America,Northern America
US,Mississippi,Stone,30.79187949,-89.11547539,18336,Northern America,Northern America
US,Mississippi,Sunflower,33.60192578,-90.58882684,25110,Northern America,Northern America
US,Mississippi,Tallahatchie,33.95339918,-90.1729398,13809,Northern America,Northern America
US,Mississippi,Tate,34.65133709,-89.94485778,28321,Northern America,Northern America
US,Mississippi,Tippah,34.76872156,-88.90988194,22015,Northern America,Northern America
US,Mississippi,Tishomingo,34.74023475,-88.23917219,19383,Northern America,Northern America
US,Mississippi,Tunica,34.64967704,-90.37481167,9632,Northern America,Northern America
US,Mississippi,Union,34.49162015,-89.00776006,28815,Northern America,Northern America
US,Mississippi,Walthall,31.14971548,-90.10446654,14286,Northern America,Northern America
US,Mississippi,Warren,32.35810271,-90.83352619,45381,Northern America,Northern America
US,Mississippi,Washington,33.28392041,-90.94196237,43909,Northern America,Northern America
US,Mississippi,Wayne,31.64135687,-88.69573913,20183,Northern America,Northern America
US,Mississippi,Webster,33.61300486,-89.28392912,9689,Northern America,Northern America
US,Mississippi,Wilkinson,31.16078225,-91.31018819,8630,Northern America,Northern America
US,Mississippi,Winston,33.08747908,-89.03391385,17955,Northern America,Northern America
US,Mississippi,Yalobusha,34.02824175,-89.7076205,12108,Northern America,Northern America
US,Mississippi,Yazoo,32.77890365,-90.39656148,29690,Northern America,Northern America
US,Missouri,Adair,40.19058551,-92.60078167,25343,Northern America,Northern America
US,Missouri,Andrew,39.98492163,-94.80163024,17712,Northern America,Northern America
US,Missouri,Atchison,40.43238737,-95.42970639,5143,Northern America,Northern America
US,Missouri,Audrain,39.215877,-91.84242683,25388,Northern America,Northern America
US,Missouri,Barry,36.70978521,-93.82919888,35789,Northern America,Northern America
US,Missouri,Barton,37.50207671,-94.34757022,11754,Northern America,Northern America
US,Missouri,Bates,38.25271289,-94.34113157,16172,Northern America,Northern America
US,Missouri,Benton,38.29503305,-93.28756116,19443,Northern America,Northern America
US,Missouri,Bollinger,37.32449052,-90.02725304,12133,Northern America,Northern America
US,Missouri,Boone,38.99186229,-92.30723575,180463,Northern America,Northern America
US,Missouri,Buchanan,39.65816401,-94.80138942,87364,Northern America,Northern America
US,Missouri,Butler,36.71462476,-90.40421163,42478,Northern America,Northern America
US,Missouri,Caldwell,39.65620858,-93.98308093,9020,Northern America,Northern America
US,Missouri,Callaway,38.83674754,-91.92186505,44743,Northern America,Northern America
US,Missouri,Camden,38.02199522,-92.76083747,46305,Northern America,Northern America
US,Missouri,Cape Girardeau,37.38489388,-89.6843587,78871,Northern America,Northern America
US,Missouri,Carroll,39.42762566,-93.50626255,8679,Northern America,Northern America
US,Missouri,Carter,36.94160441,-90.96051322,5982,Northern America,Northern America
US,Missouri,Cass,38.64789422,-94.353399,105780,Northern America,Northern America
US,Missouri,Cedar,37.72391475,-93.85445441,14349,Northern America,Northern America
US,Missouri,Chariton,39.51499357,-92.9629191,7426,Northern America,Northern America
US,Missouri,Christian,36.9711783,-93.18537118,88595,Northern America,Northern America
US,Missouri,Clark,40.41040752,-91.73661677,6797,Northern America,Northern America
US,Missouri,Clay,39.31132056,-94.41850862,249948,Northern America,Northern America
US,Missouri,Clinton,39.6013098,-94.40465394,20387,Northern America,Northern America
US,Missouri,Cole,38.50455671,-92.27860244,76745,Northern America,Northern America
US,Missouri,Cooper,38.844478,-92.80896081,17709,Northern America,Northern America
US,Missouri,Crawford,37.97663738,-91.30528104,23920,Northern America,Northern America
US,Missouri,Dade,37.431814,-93.8503345,7561,Northern America,Northern America
US,Missouri,Dallas,37.6811355,-93.02127031,16878,Northern America,Northern America
US,Missouri,Daviess,39.96145298,-93.98519678,8278,Northern America,Northern America
US,Missouri,DeKalb,39.89201062,-94.40476508,12547,Northern America,Northern America
US,Missouri,Dent,37.60663134,-91.50790473,15573,Northern America,Northern America
US,Missouri,Douglas,36.9325593,-92.49905109,13185,Northern America,Northern America
US,Missouri,Dunklin,36.27167174,-90.09122243,29131,Northern America,Northern America
US,Missouri,Franklin,38.41127108,-91.07522826,103967,Northern America,Northern America
US,Missouri,Gasconade,38.43947277,-91.50847147,14706,Northern America,Northern America
US,Missouri,Gentry,40.21097916,-94.40944419,6571,Northern America,Northern America
US,Missouri,Greene,37.2575872,-93.34230916,293086,Northern America,Northern America
US,Missouri,Grundy,40.11406587,-93.56509276,9850,Northern America,Northern America
US,Missouri,Harrison,40.35570088,-93.99222144,8352,Northern America,Northern America
US,Missouri,Henry,38.38482826,-93.79293734,21824,Northern America,Northern America
US,Missouri,Hickory,37.94163617,-93.3203037,9544,Northern America,Northern America
US,Missouri,Holt,40.09799248,-95.2163888,4403,Northern America,Northern America
US,Missouri,Howard,39.1435761,-92.69756691,10001,Northern America,Northern America
US,Missouri,Howell,36.77383887,-91.88683935,40117,Northern America,Northern America
US,Missouri,Iron,37.55487945,-90.7735296,10125,Northern America,Northern America
US,Missouri,Jackson,39.01002188,-94.34724536,703011,Northern America,Northern America
US,Missouri,Jasper,37.20351921,-94.34050458,121328,Northern America,Northern America
US,Missouri,Jefferson,38.25926778,-90.53870896,225081,Northern America,Northern America
US,Missouri,Johnson,38.74719601,-93.80691168,54062,Northern America,Northern America
US,Missouri,Knox,40.12699751,-92.14780832,3959,Northern America,Northern America
US,Missouri,Laclede,37.65896829,-92.5888493,35723,Northern America,Northern America
US,Missouri,Lafayette,39.06986886,-93.78076396,32708,Northern America,Northern America
US,Missouri,Lawrence,37.10626634,-93.83293097,38355,Northern America,Northern America
US,Missouri,Lewis,40.09673161,-91.72070156,9776,Northern America,Northern America
US,Missouri,Lincoln,39.05345619,-90.95588181,59013,Northern America,Northern America
US,Missouri,Linn,39.87001769,-93.10704106,11920,Northern America,Northern America
US,Missouri,Livingston,39.78110272,-93.54645978,15227,Northern America,Northern America
US,Missouri,McDonald,36.62869595,-94.34867205,22837,Northern America,Northern America
US,Missouri,Macon,39.83049768,-92.56453089,15117,Northern America,Northern America
US,Missouri,Madison,37.47865134,-90.3467143,12088,Northern America,Northern America
US,Missouri,Maries,38.16193985,-91.92249662,8697,Northern America,Northern America
US,Missouri,Marion,39.80601912,-91.62203062,28530,Northern America,Northern America
US,Missouri,Mercer,40.42212303,-93.5682959,3617,Northern America,Northern America
US,Missouri,Miller,38.21450288,-92.42610898,25619,Northern America,Northern America
US,Missouri,Mississippi,36.82516239,-89.29505753,13180,Northern America,Northern America
US,Missouri,Moniteau,38.63571781,-92.57976951,16132,Northern America,Northern America
US,Missouri,Monroe,39.49593978,-92.00043978,8644,Northern America,Northern America
US,Missouri,Montgomery,38.94022054,-91.47000721,11551,Northern America,Northern America
US,Missouri,Morgan,38.4181765,-92.88791859,20627,Northern America,Northern America
US,Missouri,New Madrid,36.59666326,-89.66070007,17076,Northern America,Northern America
US,Missouri,Newton,36.90519407,-94.3394104,58236,Northern America,Northern America
US,Missouri,Nodaway,40.36079813,-94.88133008,22092,Northern America,Northern America
US,Missouri,Oregon,36.68710164,-91.4033755,10529,Northern America,Northern America
US,Missouri,Osage,38.46036182,-91.8613635,13615,Northern America,Northern America
US,Missouri,Ozark,36.64916339,-92.44459066,9174,Northern America,Northern America
US,Missouri,Pemiscot,36.2130572,-89.78742322,15805,Northern America,Northern America
US,Missouri,Perry,37.70660776,-89.82741088,19136,Northern America,Northern America
US,Missouri,Pettis,38.72798918,-93.28471706,42339,Northern America,Northern America
US,Missouri,Phelps,37.87736118,-91.79351727,44573,Northern America,Northern America
US,Missouri,Pike,39.34310674,-91.16980779,18302,Northern America,Northern America
US,Missouri,Platte,39.38154439,-94.77068479,104418,Northern America,Northern America
US,Missouri,Polk,37.6162296,-93.39828174,32149,Northern America,Northern America
US,Missouri,Pulaski,37.82462075,-92.20783203,52607,Northern America,Northern America
US,Missouri,Putnam,40.47942497,-93.02042674,4696,Northern America,Northern America
US,Missouri,Ralls,39.52817427,-91.51838643,10309,Northern America,Northern America
US,Missouri,Randolph,39.44007257,-92.4971374,24748,Northern America,Northern America
US,Missouri,Ray,39.3537468,-93.98905745,23018,Northern America,Northern America
US,Missouri,Reynolds,37.36085952,-90.97009925,6270,Northern America,Northern America
US,Missouri,Ripley,36.65460667,-90.85990261,13288,Northern America,Northern America
US,Missouri,St. Charles,38.77875681,-90.66662425,402022,Northern America,Northern America
US,Missouri,St. Clair,38.03699437,-93.77631447,9397,Northern America,Northern America
US,Missouri,Ste. Genevieve,37.89090059,-90.1949941,17894,Northern America,Northern America
US,Missouri,St. Francois,37.81214171,-90.47598685,67215,Northern America,Northern America
US,Missouri,St. Louis,38.6377004,-90.4458375,994205,Northern America,Northern America
US,Missouri,Saline,39.13734288,-93.20259964,22761,Northern America,Northern America
US,Missouri,Schuyler,40.46921489,-92.52311943,4660,Northern America,Northern America
US,Missouri,Scotland,40.45214695,-92.14709064,4902,Northern America,Northern America
US,Missouri,Scott,37.05588075,-89.56474493,38280,Northern America,Northern America
US,Missouri,Shannon,37.15772072,-91.40190382,8166,Northern America,Northern America
US,Missouri,Shelby,39.79742518,-92.07634971,5930,Northern America,Northern America
US,Missouri,Stoddard,36.85571651,-89.9444155,29025,Northern America,Northern America
US,Missouri,Stone,36.75000327,-93.45256475,31952,Northern America,Northern America
US,Missouri,Sullivan,40.2099105,-93.11150106,6089,Northern America,Northern America
US,Missouri,Taney,36.65465345,-93.04075153,55928,Northern America,Northern America
US,Missouri,Texas,37.31728859,-91.96564727,25398,Northern America,Northern America
US,Missouri,Vernon,37.8457799,-94.34127305,20563,Northern America,Northern America
US,Missouri,Warren,38.76529479,-91.16124662,35649,Northern America,Northern America
US,Missouri,Washington,37.96130078,-90.87948158,24730,Northern America,Northern America
US,Missouri,Wayne,37.11303869,-90.46001416,12873,Northern America,Northern America
US,Missouri,Webster,37.2813734,-92.876329,39592,Northern America,Northern America
US,Missouri,Worth,40.47945588,-94.42328751,2013,Northern America,Northern America
US,Missouri,Wright,37.27029221,-92.46914488,18289,Northern America,Northern America
US,Missouri,St. Louis City,38.63555736,-90.24349225,300576,Northern America,Northern America
US,Montana,Beaverhead,45.13434354,-112.8984694,9453,Northern America,Northern America
US,Montana,Big Horn,45.42335905,-107.492347,13319,Northern America,Northern America
US,Montana,Blaine,48.43175214,-108.9582723,6681,Northern America,Northern America
US,Montana,Broadwater,46.33277565,-111.4955813,6237,Northern America,Northern America
US,Montana,Carbon,45.22850116,-109.0274047,10725,Northern America,Northern America
US,Montana,Carter,45.5197966,-104.5395536,1252,Northern America,Northern America
US,Montana,Cascade,47.30797024,-111.3467922,81366,Northern America,Northern America
US,Montana,Chouteau,47.88084126,-110.4353362,5635,Northern America,Northern America
US,Montana,Custer,46.25319932,-105.5737526,11402,Northern America,Northern America
US,Montana,Daniels,48.78420029,-105.5476343,1690,Northern America,Northern America
US,Montana,Dawson,47.26584855,-104.8944417,8613,Northern America,Northern America
US,Montana,Deer Lodge,46.05953325,-113.073353,9140,Northern America,Northern America
US,Montana,Fallon,46.33478338,-104.4183565,2846,Northern America,Northern America
US,Montana,Fergus,47.26331584,-109.2245206,11050,Northern America,Northern America
US,Montana,Flathead,48.29575866,-114.0520569,103806,Northern America,Northern America
US,Montana,Gallatin,45.54486106,-111.1692571,114434,Northern America,Northern America
US,Montana,Garfield,47.27545948,-107.0002351,1258,Northern America,Northern America
US,Montana,Glacier,48.70513576,-112.9934235,13753,Northern America,Northern America
US,Montana,Golden Valley,46.3816474,-109.1768522,821,Northern America,Northern America
US,Montana,Granite,46.4060522,-113.4414186,3379,Northern America,Northern America
US,Montana,Hill,48.62879827,-110.1129252,16484,Northern America,Northern America
US,Montana,Jefferson,46.14907081,-112.094396,12221,Northern America,Northern America
US,Montana,Judith Basin,47.04581276,-110.2660688,2007,Northern America,Northern America
US,Montana,Lake,47.64514965,-114.0898013,30458,Northern America,Northern America
US,Montana,Lewis and Clark,47.12610041,-112.394698,69432,Northern America,Northern America
US,Montana,Liberty,48.56084317,-111.024307,2337,Northern America,Northern America
US,Montana,Lincoln,48.54265777,-115.4046155,19980,Northern America,Northern America
US,Montana,McCone,47.64469406,-105.7944994,1664,Northern America,Northern America
US,Montana,Madison,45.30080065,-111.9173017,8600,Northern America,Northern America
US,Montana,Meagher,46.59907074,-110.8898557,1862,Northern America,Northern America
US,Montana,Mineral,47.15283992,-115.0015239,4397,Northern America,Northern America
US,Montana,Missoula,47.03728583,-113.9213508,119600,Northern America,Northern America
US,Montana,Musselshell,46.49684637,-108.39498,4633,Northern America,Northern America
US,Montana,Park,45.48965095,-110.5264394,16606,Northern America,Northern America
US,Montana,Petroleum,47.1182463,-108.2508876,487,Northern America,Northern America
US,Montana,Phillips,48.25936577,-107.9128511,3954,Northern America,Northern America
US,Montana,Pondera,48.22773388,-112.2252703,5911,Northern America,Northern America
US,Montana,Powder River,45.39617714,-105.636738,1682,Northern America,Northern America
US,Montana,Powell,46.85538891,-112.9359164,6890,Northern America,Northern America
US,Montana,Prairie,46.86048047,-105.379384,1077,Northern America,Northern America
US,Montana,Ravalli,46.08520862,-114.1189164,43806,Northern America,Northern America
US,Montana,Richland,47.78668011,-104.5610786,10803,Northern America,Northern America
US,Montana,Roosevelt,48.29607488,-105.0079268,11004,Northern America,Northern America
US,Montana,Rosebud,46.23397237,-106.729288,8937,Northern America,Northern America
US,Montana,Sanders,47.67657534,-115.1329916,12113,Northern America,Northern America
US,Montana,Sheridan,48.72085833,-104.503829,3309,Northern America,Northern America
US,Montana,Silver Bow,45.90018933,-112.6620092,34915,Northern America,Northern America
US,Montana,Stillwater,45.67071407,-109.3950061,9642,Northern America,Northern America
US,Montana,Sweet Grass,45.81367654,-109.9425686,3737,Northern America,Northern America
US,Montana,Teton,47.83741052,-112.2410688,6147,Northern America,Northern America
US,Montana,Toole,48.65577551,-111.6942414,4736,Northern America,Northern America
US,Montana,Treasure,46.2097322,-107.2666516,696,Northern America,Northern America
US,Montana,Valley,48.36435097,-106.6669635,7396,Northern America,Northern America
US,Montana,Wheatland,46.46652491,-109.8464636,2126,Northern America,Northern America
